GeneID	control	control	control	control	perturbed	perturbed	perturbed	perturbed
100287102	18	23	15	20	26	23	9	35
653635	1414	1601	1478	1356	1846	1784	1691	2164
102466751	46	53	31	44	58	62	40	36
107985730	1	0	2	2	3	0	1	0
100302278	0	0	0	2	0	1	0	0
645520	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0
100996442	339	360	317	348	291	310	253	391
729737	307	310	285	262	243	276	257	308
102725121	22	12	13	15	23	22	7	19
102723897	1676	1936	1783	1658	2242	2150	2067	2597
102465909	37	31	34	33	62	46	37	38
107985721	6	0	4	3	2	11	1	3
112268260	317	375	347	358	326	343	302	461
729759	1	2	4	5	1	4	3	7
100132287	478	488	468	410	421	433	420	561
105378947	44	44	30	33	52	44	51	88
101928626	1	3	1	0	0	2	0	7
113219467	4384	6298	5150	4743	4734	4436	4168	5571
81399	49	31	50	58	60	53	43	75
100133331	532	584	473	446	468	529	473	636
107984841	126	132	124	95	137	144	95	123
107984847	155	135	136	152	195	218	136	206
107984849	25	27	24	25	28	24	16	15
100288069	266	181	167	215	217	197	166	268
105378580	214	206	149	139	236	199	150	265
400728	74	62	58	66	108	90	58	70
79854	94	80	81	105	98	106	52	111
643837	1655	2066	1802	1678	1591	1419	1347	1818
107984850	2	3	3	3	12	5	18	1
284593	9	12	15	13	8	7	5	28
284600	1129	1041	1078	961	877	677	641	974
100130417	865	820	882	899	838	643	688	893
107985728	1375	1538	1651	1575	1213	1100	1089	1328
148398	4161	5045	4880	4880	2863	2552	2639	3228
26155	11694	14609	13708	12351	11846	11076	11552	14486
339451	2167	2281	2189	2056	2413	2215	2185	2767
84069	588	759	730	698	828	842	773	847
84808	66	107	88	73	101	95	97	129
57801	300	409	371	282	282	391	260	317
9636	2813	5228	4396	3052	6148	8171	7825	10014
375790	20475	26032	24608	21426	37414	38518	37022	42979
100288175	18	28	18	31	19	12	23	21
112267874	14	32	26	21	24	55	49	30
105378948	20	20	26	30	41	31	24	10
401934	1	0	0	4	0	2	2	3
54991	821	910	890	757	883	1088	869	1065
254099	0	0	0	2	0	0	2	0
406984	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0
100506376	0	1	0	0	0	0	0	1
254173	0	0	1	0	6	1	5	0
8784	42	61	45	69	39	69	90	70
7293	59	42	49	25	21	6	34	51
51150	24766	30688	28162	25280	24867	24160	24458	29011
126792	2622	3308	3175	2687	3295	3093	3194	3469
388581	473	472	463	380	458	467	393	514
118424	4442	5157	4753	4433	4574	4671	4410	5636
101928895	176	142	154	170	222	145	192	232
6339	364	287	306	311	612	479	563	608
116983	9738	9965	9871	8759	10902	9989	9348	10886
102465434	2	0	3	8	0	4	2	1
109623456	109	85	102	76	126	125	75	124
126789	1730	2151	2042	1813	1598	1638	1404	1730
54973	7713	8283	7813	7303	6617	6509	6273	7602
102465435	24	14	21	18	21	16	17	19
80772	2347	2905	2550	2204	2312	2112	2248	2351
83756	183	145	148	131	155	153	98	176
1855	8568	10749	9720	9055	8662	9053	8822	10205
102466740	13	4	21	11	24	18	30	37
54587	21029	26046	23735	20718	21917	21009	21113	24538
54998	6788	8571	7849	6984	7332	6972	7504	8419
81669	25215	27262	25525	23685	33851	30492	29456	40006
148413	1609	1817	1764	1680	2104	1723	1792	2324
55052	4570	6328	5808	5046	4785	4686	4591	6076
107984868	11	25	1	2	17	12	7	6
441869	49	83	93	67	108	91	86	127
105378585	3	19	9	12	4	30	14	16
643965	3	0	0	2	7	14	0	1
102724312	19	10	3	11	10	0	1	1
107985729	1	12	17	2	11	0	17	2
64856	1178	1363	1280	1184	542	702	639	856
219293	203	266	236	234	301	214	246	314
83858	3214	3687	3440	3156	3594	3457	3197	3975
55210	4898	6222	5763	5424	6215	5874	6222	7207
339453	164	170	172	132	182	171	160	267
29101	8940	11874	10280	9839	9888	9061	9310	11561
643988	739	889	957	741	588	541	623	700
105378586	45	73	85	61	52	40	41	44
142678	5586	6031	5787	4963	8335	8158	7754	8688
8510	263	274	253	210	227	234	228	302
984	4981	5730	5360	4772	6062	5491	5997	7307
728661	8194	9888	9102	8232	10101	9789	9783	12841
8511	141	156	164	135	128	128	125	161
728642	3473	3997	3934	3386	4515	4279	4308	5568
9906	5482	6755	6267	5550	7540	6768	6574	8774
112268218	536	651	564	552	556	514	515	651
65220	7528	9191	8593	7660	7487	6990	7212	9392
2782	61926	80441	73836	66252	49864	46597	47135	63667
105378949	43	66	51	45	39	69	35	34
163688	160	187	152	99	362	402	271	433
339456	10	19	8	25	45	24	37	46
85452	1	3	0	1	0	1	1	4
107984872	3	0	0	0	0	0	0	0
105378589	0	3	0	0	8	1	0	0
2563	1	0	0	0	4	3	1	0
105378590	0	0	0	0	0	0	0	0
105378591	0	0	0	0	0	0	0	0
5590	478	570	526	444	455	419	382	397
100506504	70	56	82	71	25	41	50	89
199990	3973	4314	4127	3766	4800	4597	4603	4721
112268219	571	569	445	576	586	594	507	542
105378593	72	67	54	48	56	80	50	51
6497	16757	20291	18538	17004	15636	14065	15016	18708
79906	497	552	418	537	503	505	415	666
100129534	131	120	120	79	106	135	128	184
11079	16900	21868	19416	18520	18807	17602	18011	24026
5192	2547	3544	3011	2853	2484	2368	2526	3012
9651	471	578	583	464	445	519	429	536
55229	3586	4284	4047	3469	3985	3792	3637	4903
388585	5	2	10	10	3	1	5	0
115110	61	74	65	73	148	156	158	157
8764	420	552	424	386	1201	1133	1247	1096
100996583	5	16	10	2	8	8	1	8
127281	2267	2892	2553	2233	2104	1998	2080	2638
79258	271	402	339	312	233	236	275	365
105378597	6	16	0	6	0	13	3	7
100287898	85	47	66	41	75	66	43	64
105378603	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	1	1
105378601	0	0	0	0	0	1	2	0
112268220	0	0	0	0	0	1	0	1
107985732	0	1	0	0	0	4	0	0
105378600	0	0	0	0	0	3	2	0
105378598	1	1	0	1	0	1	0	5
107984904	0	1	0	0	0	2	0	0
105378599	0	0	0	0	0	0	0	0
140625	6	0	0	0	0	0	0	0
440556	0	12	13	12	11	5	2	2
63976	70	69	54	32	65	55	60	74
100422968	0	0	0	0	0	0	0	0
105378606	0	0	4	0	0	1	0	0
107984909	0	0	0	0	0	0	0	0
105378605	0	0	0	0	0	0	0	0
105378604	68	60	41	53	72	60	70	65
27237	13	14	28	20	12	19	20	3
1953	327	279	314	270	339	399	382	384
105378608	12	0	0	0	0	3	3	0
693135	0	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0	0
