GeneID	control	control	control	perturbed	perturbed
100287102	15	14	10	15	16
653635	451	410	405	467	520
102466751	7	9	10	10	13
107985730	1	1	4	4	3
100302278	1	0	1	1	1
645520	0	1	0	1	0
79501	0	0	0	0	0
100996442	96	99	79	106	115
729737	89	74	83	94	103
102725121	11	9	9	13	17
102723897	425	419	387	438	467
102465909	8	8	8	8	11
107985721	2	3	3	6	6
112268260	30	29	36	27	30
729759	1	0	0	1	0
100132287	138	137	131	168	179
105378947	2	3	3	7	6
101928626	1	0	0	0	1
113219467	1249	1405	1194	1379	1540
81399	10	8	12	12	11
100133331	148	142	138	181	202
107984841	53	47	44	74	81
107984847	66	59	62	83	92
107984849	15	7	12	24	19
100288069	97	101	97	135	187
105378580	122	110	117	195	213
400728	61	67	59	87	76
79854	87	86	56	72	89
643837	693	683	561	339	379
107984850	3	2	2	1	2
284593	2	5	1	2	4
284600	569	520	457	852	922
100130417	212	195	144	268	301
107985728	354	356	323	386	420
148398	584	615	551	404	499
26155	3833	4094	3738	2105	2413
339451	1682	1604	1537	1303	1613
84069	373	356	317	329	431
84808	65	46	60	58	74
57801	857	1001	735	614	717
9636	674	780	697	327	368
375790	6570	6541	5954	5763	6654
100288175	52	52	66	51	56
112267874	70	90	79	126	124
105378948	143	130	133	172	198
401934	110	131	105	120	134
54991	372	435	367	368	448
254099	0	2	4	6	1
406984	11	8	7	8	12
406983	8	10	9	8	8
554210	15	19	15	18	24
100506376	5	2	1	5	7
254173	0	2	0	5	5
8784	36	62	37	63	51
7293	7	4	13	12	9
51150	3313	3393	3074	2013	2346
126792	2345	2570	2277	1327	1600
388581	18	16	16	49	25
118424	1690	1674	1546	830	993
101928895	82	91	73	96	108
6339	103	129	135	170	196
116983	2800	2798	2501	2901	3523
102465434	1	1	0	2	4
109623456	14	15	11	20	37
126789	794	846	776	418	546
54973	2607	2721	2453	1678	1978
102465435	21	18	19	17	18
80772	1735	1791	1646	586	755
83756	182	184	158	200	225
1855	4537	4788	4255	2536	3045
102466740	5	5	5	3	5
54587	2188	2288	2053	1937	2406
54998	2655	2780	2501	989	1147
81669	3023	2961	2763	3210	3784
148413	624	629	604	237	303
55052	1400	1486	1378	519	656
107984868	11	21	18	16	23
441869	139	132	125	89	113
105378585	23	25	31	17	34
643965	0	1	1	2	0
102724312	226	243	216	176	194
107985729	213	236	227	196	202
64856	1549	1565	1478	983	1022
219293	153	127	125	80	103
83858	1749	1877	1696	1357	1599
55210	1958	1995	1780	917	1133
339453	12	26	28	22	21
29101	2982	3261	2808	1061	1438
643988	1392	1348	1275	586	657
105378586	141	172	122	69	74
142678	1185	1257	1077	1069	1190
8510	35	47	39	28	30
984	1081	1032	983	709	873
728661	3389	3317	3234	2257	2639
8511	2	3	1	2	2
728642	771	701	682	632	709
9906	1626	1578	1542	1215	1509
112268218	172	193	185	118	110
65220	2863	2985	2772	1521	1806
2782	9032	9130	8394	3775	4642
105378949	149	127	140	89	129
163688	19	30	13	41	62
339456	378	366	338	152	228
85452	6	11	6	21	11
107984872	0	1	3	2	3
105378589	2	2	1	0	0
2563	5	10	6	10	6
105378590	4	5	6	4	7
105378591	8	12	7	8	6
5590	1188	1339	1077	825	997
100506504	72	75	63	76	70
199990	1099	1127	1023	624	818
112268219	470	473	424	260	291
105378593	17	15	16	34	35
6497	4646	4707	4267	2125	2610
79906	246	262	227	238	276
100129534	23	27	29	51	62
11079	2033	2052	1837	1143	1319
5192	989	978	914	503	596
9651	197	220	185	336	402
55229	875	898	893	838	1025
388585	6	2	0	1	5
115110	37	36	41	50	46
8764	232	240	214	231	281
100996583	23	29	25	43	47
127281	1295	1261	1205	589	742
79258	286	290	257	195	255
105378597	2	2	1	1	7
100287898	54	61	67	75	74
105378603	0	0	0	0	0
105378602	0	0	0	0	0
105378601	0	0	0	0	0
112268220	0	0	0	0	1
107985732	0	0	0	0	0
105378600	0	0	0	0	0
105378598	1	0	1	1	0
107984904	0	0	0	0	0
105378599	0	0	0	0	0
140625	0	0	0	0	0
440556	0	2	0	2	1
63976	26	27	33	42	30
100422968	0	0	0	0	0
105378606	2	3	1	3	0
107984909	6	4	8	3	8
105378605	2	4	3	4	6
105378604	7	8	3	10	9
27237	1231	1404	1200	903	969
1953	202	203	175	395	466
105378608	26	23	26	19	25
693135	0	4	0	0	2
105378607	1	3	3	6	3
127262	1306	1272	1268	577	698
49856	465	444	478	336	392
7161	223	211	192	152	194
105378610	9	7	2	6	9
105378609	2	7	5	1	5
57212	1274	1237	1160	967	1217
148870	18	23	25	30	34
388588	103	79	82	52	58
57470	2163	2201	1853	862	1005
9731	1495	1521	1281	835	1048
1677	530	520	474	298	354
107984910	18	7	13	11	10
339448	616	623	565	360	429
100133612	29	27	22	20	22
728716	0	0	0	0	0
105376672	0	0	0	0	0
105376673	145	122	106	80	70
284661	2	3	2	0	0
105376674	0	0	0	0	0
105376679	0	0	0	0	0
107985376	0	0	0	0	0
55966	0	0	0	0	0
105376680	0	0	0	0	0
102724429	0	0	0	0	0
105376681	0	0	0	0	0
105376682	0	0	0	0	0
107984911	0	0	0	0	0
105376686	0	0	0	0	0
100616421	1	0	1	2	2
261734	799	798	680	817	916
8514	484	513	464	348	449
26038	41	41	45	57	49
105376687	2	3	2	1	13
6146	4204	4643	4115	1779	2166
107985733	50	44	37	41	39
102724450	17	21	18	9	15
388591	579	561	443	631	789
23463	3069	2991	2741	1057	1224
148645	6	2	5	2	2
390992	0	0	0	0	1
387509	178	154	173	146	160
11332	684	699	719	282	349
54626	322	320	282	173	196
83715	692	649	575	578	804
100422975	2	3	3	1	9
8718	33	37	32	49	63
57449	238	238	214	208	229
79707	1946	1890	1783	981	1104
80835	46	57	57	44	50
107984912	2	3	5	4	5
3104	549	580	539	428	543
9903	2036	1972	1850	949	1176
107984913	21	6	17	11	23
148479	1070	1154	1087	468	533
90326	816	813	703	387	418
55735	1507	1557	1490	815	986
100505887	0	0	0	0	0
110841581	22	36	32	23	14
23261	1185	1148	1027	762	785
105376692	1	7	4	6	5
102725193	6	1	2	4	10
101928836	2	1	2	4	7
105376691	1	0	0	4	2
105376689	99	109	114	163	139
9341	1498	1356	1270	660	785
8863	894	902	786	788	1043
10911	3	3	1	0	4
3604	7	6	5	2	3
11315	4590	4714	4318	1905	2324
54206	1494	1543	1430	1007	1131
107984915	0	0	0	0	1
102724539	1	0	0	0	0
105376695	0	0	0	0	0
50651	92	71	79	54	69
473	1413	1547	1426	1266	1431
102724552	35	24	23	30	40
106632271	3	7	5	12	10
2023	26626	26436	25133	24287	27917
102465436	7	8	8	21	19
100505975	99	95	97	39	46
112268261	0	3	1	0	0
765	0	0	0	0	0
155184	1	0	1	2	1
6518	6	2	6	7	3
80045	618	694	648	344	406
106614088	485	536	506	496	527
407040	8	7	4	5	7
102724571	120	113	110	89	113
9563	2693	2785	2412	2035	2432
80176	117	103	107	62	90
100506022	7	3	5	3	5
84275	3390	3477	3175	1518	1813
199953	1565	1493	1447	702	811
107985734	29	32	30	24	18
105376712	1	4	1	7	4
5293	3663	3586	3325	1556	1971
644997	0	0	0	0	1
101929074	77	80	66	27	34
22883	8943	9047	8210	5946	6979
56998	925	1010	914	431	520
105376717	34	36	42	20	26
84328	585	529	555	263	349
64802	395	364	332	185	201
113391335	28	27	21	24	23
100847055	3	1	3	4	3
116362	10	10	18	4	8
10277	2538	2480	2332	1486	1816
23095	7519	7404	6995	4739	5624
105376725	49	44	24	53	67
5226	3291	3113	2956	1198	1550
100526739	304	307	258	131	143
378708	309	320	280	139	165
1325	42	46	39	26	42
1676	2999	2963	2800	1185	1433
5195	559	482	489	338	375
54897	3309	3316	2923	2780	3271
105376733	0	0	0	0	1
105376735	0	0	0	0	0
148345	4	0	3	2	2
23435	3614	3632	3523	1839	2225
10747	89	80	90	103	90
6723	3142	3187	2835	976	1160
5394	1453	1481	1428	1027	1258
105376736	57	51	48	43	40
2475	5835	5755	5464	3101	3794
100873935	112	105	94	59	72
10218	87	91	98	102	117
29914	620	618	612	268	375
105376737	0	0	1	5	1
105376739	0	0	0	0	0
105376740	0	0	1	0	0
57540	4	1	2	6	12
112268221	0	0	1	1	1
101929181	2	0	1	2	0
26232	283	336	245	93	112
93611	832	877	764	637	760
26270	125	103	102	64	76
10459	710	798	739	366	466
374946	7	11	6	7	6
57085	1749	1674	1677	1047	1179
284498	392	440	353	342	433
102724659	40	20	34	36	58
4524	929	907	906	599	692
1185	480	447	456	488	530
100379251	55	54	50	60	54
4878	7	7	7	6	13
4879	0	0	0	0	0
26829	31	37	36	18	21
90231	2305	2374	2201	1558	1933
5351	3922	3857	3771	4419	5000
9927	4227	4233	4170	1878	2333
60672	581	651	580	345	429
102466982	2	1	2	0	1
943	43	55	30	22	33
102465836	0	0	1	1	1
7133	33	28	22	25	32
100616438	0	0	0	0	0
107984917	1	0	0	2	0
55187	5179	4910	4710	5146	5787
677885	44	48	37	71	49
105376744	5	6	4	9	8
9249	423	406	329	533	588
102466722	1	2	0	3	5
343066	0	0	0	0	0
126767	0	0	0	0	0
93190	2	1	1	4	0
390999	2	0	1	2	1
65121	0	0	0	1	0
105376745	0	0	0	0	0
440560	0	0	0	0	0
343069	16	14	19	6	7
65122	0	0	1	1	0
400735	0	0	0	0	0
343071	0	0	0	0	0
441871	1	0	2	0	0
440561	0	0	0	0	0
101929983	0	0	0	0	0
649330	0	1	0	0	0
441873	0	0	0	0	0
649324	2	1	2	2	0
440563	7	5	10	1	5
645354	2	1	2	2	0
645359	0	0	0	0	0
101060301	3	2	1	0	1
343070	0	0	0	0	0
