GeneID	control	control	control	control	perturbed	perturbed	perturbed	perturbed
100287102	1	2	3	6	2	1	5	2
653635	1044	1064	958	1252	978	942	909	1101
102466751	29	34	41	47	24	32	25	35
107985730	1	2	1	1	1	1	1	2
100302278	1	0	0	0	0	0	2	1
645520	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0
100996442	131	93	78	122	85	89	73	97
729737	1120	993	958	1260	990	827	818	913
102725121	1	1	1	1	2	0	0	0
102723897	1048	1050	1009	1310	961	951	956	1143
102465909	12	13	14	24	11	17	8	15
107985721	2	2	2	1	1	3	3	0
112268260	80	77	48	84	52	50	61	53
729759	0	0	0	0	0	0	0	0
100132287	436	367	380	471	418	354	365	357
105378947	13	14	10	11	5	6	7	4
101928626	0	0	0	0	0	0	0	0
113219467	3034	2922	2720	4270	2081	1962	884	4409
81399	9	9	7	14	11	7	4	4
100133331	288	254	239	337	293	265	282	272
107984841	93	51	62	67	63	62	63	50
107984847	123	63	73	111	84	78	73	89
107984849	30	16	33	26	27	18	10	31
100288069	108	93	93	90	100	88	54	90
105378580	31	30	23	20	46	26	20	26
400728	12	16	3	8	8	4	2	7
79854	37	57	41	42	34	39	29	28
643837	1474	1293	956	1377	1025	1041	1110	1103
107984850	1	0	0	2	1	3	1	2
284593	1	1	3	0	4	2	3	1
284600	124	113	112	118	103	86	43	69
100130417	17	13	22	28	10	16	7	9
107985728	0	0	2	0	0	0	0	0
148398	543	516	470	596	624	586	610	643
26155	9278	8732	6952	9243	9316	9023	8959	10582
339451	1578	1558	1959	1937	1813	1602	1363	1987
84069	551	464	574	584	539	416	366	497
84808	66	62	68	83	64	61	60	63
57801	228	246	638	261	715	769	233	589
9636	1644	1569	1615	1637	2109	1967	1778	2004
375790	8595	8109	12011	10886	13442	12091	6889	12830
100288175	119	132	129	148	168	117	136	140
112267874	75	75	68	64	81	75	76	79
105378948	149	157	139	150	154	129	133	160
401934	237	253	279	241	250	247	198	262
54991	848	795	936	902	1065	995	847	1203
254099	3	2	7	10	3	4	3	5
406984	5	7	14	10	14	9	3	10
406983	6	13	13	12	8	8	7	12
554210	25	39	50	30	22	20	28	46
100506376	5	6	5	7	7	1	2	4
254173	12	15	22	24	17	12	8	15
8784	150	137	263	167	345	318	183	283
7293	1	2	0	5	4	1	1	3
51150	5705	5457	5992	5667	7615	7306	5550	7068
126792	1601	1449	1828	1681	2101	1936	1431	2062
388581	16	9	20	17	49	24	23	23
118424	2146	1832	2354	1970	2870	2746	2093	2753
101928895	48	54	78	79	62	34	40	54
6339	154	147	152	180	179	135	136	166
116983	2342	2295	2860	2693	2890	2689	1875	3086
102465434	1	1	1	1	1	2	1	1
109623456	21	12	19	19	12	11	8	8
126789	1350	1195	1587	1362	2085	2053	1431	1867
54973	4241	4107	3553	4352	4721	4334	3952	5048
102465435	3	6	4	5	9	7	5	6
80772	853	764	928	914	1274	1209	831	1336
83756	81	94	94	105	91	88	104	111
1855	8050	7737	9885	8949	12890	11608	7854	13442
102466740	3	4	15	9	13	7	7	12
54587	346	335	464	396	369	323	223	357
54998	2904	2640	3837	2831	5020	4655	2808	4224
81669	5263	5273	5820	6081	4379	4302	3793	4741
148413	1436	1243	1016	1320	1221	1128	1263	1341
55052	2788	2601	1819	2402	2219	2488	2708	2574
107984868	34	26	27	33	17	35	11	14
