GeneID	control	control	control	perturbed	perturbed
100287102	28	23	16	26	13
653635	1163	1099	1048	338	898
102466751	27	23	32	16	18
107985730	6	3	2	2	3
100302278	1	1	1	0	0
645520	1	0	0	0	1
79501	0	1	0	0	0
100996442	107	95	101	63	116
729737	236	223	216	34	204
102725121	39	38	33	29	24
102723897	1126	1035	941	271	857
102465909	11	13	12	5	14
107985721	5	5	6	2	3
112268260	40	32	32	24	47
729759	4	4	8	3	8
100132287	769	745	716	102	711
105378947	15	11	10	0	10
101928626	3	0	1	3	1
113219467	247	116	148	76	160
81399	35	28	37	54	47
100133331	455	428	417	74	398
107984841	144	103	112	26	143
107984847	152	121	123	27	169
107984849	55	48	39	8	52
100288069	199	203	193	80	187
105378580	159	132	108	86	151
400728	61	48	44	29	64
79854	89	85	101	62	87
643837	836	648	648	291	517
107984850	0	2	2	0	1
284593	3	2	2	0	5
284600	1057	1130	1027	181	1172
100130417	1167	1040	774	359	1309
107985728	3828	3261	2897	712	3704
148398	10028	7668	7313	1780	8097
26155	7981	6214	5173	3610	5197
339451	828	810	724	157	879
84069	21	20	16	25	32
84808	4	4	3	3	11
57801	284	245	158	11	87
9636	977	784	622	177	621
375790	7896	6549	6156	1544	5205
100288175	3	1	5	1	4
112267874	1	7	3	1	2
105378948	14	13	11	1	14
401934	2	3	3	0	0
54991	941	863	727	124	710
254099	0	0	0	0	0
406984	0	0	0	0	1
406983	0	0	0	0	0
554210	0	0	0	0	2
100506376	0	0	0	3	0
254173	1	0	0	0	0
8784	2	0	3	0	2
7293	35	33	32	19	32
51150	3812	3026	2592	1174	2700
126792	2292	1771	1608	518	1569
388581	61	87	48	3	16
118424	2601	2300	2033	500	1609
101928895	63	86	53	31	88
6339	106	105	87	16	154
116983	3241	3011	2765	960	3643
102465434	1	1	2	2	2
109623456	16	18	14	4	21
126789	963	838	674	160	684
54973	2548	2149	2111	647	2091
102465435	41	34	38	10	40
80772	1298	1125	1118	219	1044
83756	160	168	166	32	139
1855	3329	2804	2743	692	2469
102466740	4	7	3	2	8
54587	8031	6129	7139	1225	5715
54998	3769	3153	2436	1212	2216
81669	4966	4700	4500	1590	5543
148413	681	610	530	459	777
55052	880	780	683	219	582
107984868	10	9	2	4	10
441869	24	22	32	15	13
105378585	4	1	0	0	2
643965	151	153	157	177	112
102724312	107	88	76	20	66
107985729	59	68	69	15	68
64856	940	734	832	167	691
219293	217	157	146	103	147
83858	2426	2469	1826	764	1959
55210	2788	2411	1788	758	1715
339453	127	152	116	22	116
29101	2387	2010	1737	729	1377
643988	458	333	344	78	525
105378586	42	28	29	2	52
142678	2324	2106	2081	586	1868
8510	1045	942	925	101	1042
984	1501	1303	1121	702	1271
728661	6633	5343	5935	1626	5084
8511	587	529	538	45	604
728642	906	821	750	418	867
9906	2685	2055	2393	830	2275
112268218	325	277	253	45	243
65220	2928	2598	2306	1027	2153
2782	14809	11403	10044	7571	12054
105378949	51	34	40	20	49
163688	15	16	13	13	31
339456	11	4	7	1	12
85452	5	5	1	0	2
107984872	0	0	2	1	1
105378589	2	0	0	0	0
2563	0	0	0	0	0
105378590	0	0	0	0	0
105378591	0	0	0	0	0
5590	548	415	382	172	335
100506504	95	88	88	17	42
199990	1997	1793	1725	514	1633
112268219	423	388	331	171	371
105378593	18	16	20	9	28
6497	5074	4345	3967	1955	4784
79906	551	510	528	320	491
100129534	104	117	157	38	89
11079	3042	2432	2169	741	1606
5192	966	800	756	261	720
9651	58	50	48	6	30
55229	1071	815	717	237	796
388585	0	0	1	0	1
115110	58	47	51	18	50
8764	224	239	222	49	255
100996583	5	3	10	4	5
127281	1671	1279	1295	744	1189
79258	225	164	158	61	162
105378597	13	18	25	11	20
100287898	152	145	156	47	192
105378603	0	0	0	0	0
105378602	0	0	0	0	0
105378601	0	0	0	0	0
112268220	0	0	0	0	0
107985732	0	1	0	0	0
105378600	0	0	0	0	0
105378598	0	0	0	0	0
107984904	0	1	0	0	0
105378599	0	0	0	0	0
140625	0	0	0	0	0
440556	0	0	0	0	0
63976	0	1	0	0	0
100422968	0	0	0	0	0
105378606	0	0	0	0	0
107984909	0	0	0	0	0
105378605	0	0	0	0	0
105378604	2	3	1	0	0
27237	2	0	1	0	0
1953	36	34	19	20	22
105378608	23	12	3	0	3
693135	1	0	0	0	0
105378607	1	0	0	0	0
127262	1227	914	822	535	1104
49856	1682	1383	1237	194	1143
7161	1165	1025	931	291	723
105378610	55	59	32	57	35
105378609	31	21	19	18	20
57212	1156	1064	945	1107	1322
148870	10	6	18	0	7
388588	73	54	76	11	90
57470	4184	3574	3315	3001	2511
9731	1546	1320	1308	800	1352
1677	533	458	371	215	465
107984910	25	22	27	11	18
339448	1061	846	719	252	554
100133612	127	94	98	41	67
728716	1	0	0	0	0
105376672	0	0	0	0	0
105376673	1	0	0	0	0
284661	0	0	0	0	0
105376674	0	0	0	0	0
105376679	0	0	0	0	0
107985376	0	0	0	0	0
55966	0	0	0	0	1
105376680	0	0	0	1	0
102724429	0	0	0	0	0
105376681	0	0	0	0	0
105376682	0	0	0	0	0
107984911	0	0	0	0	0
105376686	0	0	0	0	0
100616421	1	3	0	0	1
261734	650	618	648	270	754
8514	148	149	163	48	131
26038	48	45	36	3	6
105376687	0	0	1	0	0
6146	3439	2916	2346	3438	2555
107985733	112	84	73	30	69
102724450	77	59	52	21	51
388591	607	635	543	107	536
23463	3903	2953	2569	1638	2633
148645	6	6	5	2	4
390992	4	5	6	0	6
387509	1576	1283	1294	562	1864
11332	2346	1764	1349	917	1195
54626	1	1	1	2	0
83715	23	18	22	7	11
100422975	0	0	0	0	0
8718	278	287	300	57	171
57449	1196	1050	1146	304	730
79707	3251	2501	2125	1498	2439
80835	155	117	115	40	80
107984912	18	16	8	1	8
3104	988	781	725	418	801
9903	2811	2418	2057	614	1671
107984913	138	113	126	47	74
148479	1775	1303	1230	696	917
90326	1236	967	893	266	860
55735	2356	1963	1662	1115	1599
100505887	0	0	0	0	0
110841581	13	7	7	1	9
23261	1081	907	814	1253	948
105376692	0	0	2	2	0
102725193	1	1	0	1	0
101928836	2	3	1	0	0
105376691	0	2	0	0	0
105376689	38	28	42	31	59
9341	2227	1624	1456	973	1688
8863	167	122	99	69	126
10911	157	219	115	107	178
3604	134	78	56	286	78
11315	3491	3070	2152	2785	2227
54206	512	428	281	225	284
107984915	0	0	0	0	0
102724539	0	0	0	0	0
105376695	0	0	0	0	0
50651	56	51	50	22	66
473	3344	2778	2863	1804	2742
102724552	31	24	20	11	25
106632271	15	5	2	6	4
2023	33031	23851	16478	10164	15431
102465436	21	15	14	17	13
100505975	47	24	17	24	27
112268261	0	0	0	1	1
765	0	0	0	0	0
155184	0	0	0	0	0
6518	0	0	0	0	0
80045	0	0	0	0	0
106614088	1	2	1	0	1
407040	0	0	0	0	0
102724571	0	0	1	0	1
9563	3800	3088	3439	1416	3016
80176	23	41	22	5	28
100506022	4	13	3	5	8
84275	746	617	446	242	480
199953	2478	1972	1895	509	1453
107985734	47	38	43	19	28
105376712	0	0	0	0	0
5293	273	213	206	140	268
644997	0	0	0	0	0
101929074	94	86	107	28	110
22883	7334	5945	5837	4071	5181
56998	1409	1136	1116	574	1099
105376717	138	114	98	71	99
84328	1218	914	915	1007	1182
64802	539	416	349	299	424
113391335	40	46	34	49	35
100847055	4	2	1	4	4
116362	0	0	0	0	0
10277	3668	2652	2900	1994	3100
23095	7278	5698	5251	3874	4805
105376725	43	31	24	37	33
5226	6928	5275	5194	4228	4205
100526739	213	193	147	159	160
378708	223	195	136	135	145
1325	42	32	40	35	32
1676	3356	2464	2555	2242	2215
5195	1045	950	898	840	820
54897	130	98	85	24	124
105376733	0	0	0	0	0
105376735	0	0	0	0	0
148345	4	2	0	0	0
23435	3789	3122	2308	3833	2751
10747	129	111	96	35	135
6723	4527	3602	3189	773	2805
5394	2685	2168	1745	844	2032
105376736	152	131	80	20	101
2475	6683	5251	4957	2905	5499
100873935	151	123	106	111	137
10218	123	110	85	41	103
29914	1359	963	962	477	785
105376737	0	1	1	0	1
105376739	0	0	0	0	0
105376740	0	2	0	0	0
57540	20	13	29	1	18
112268221	4	3	4	2	4
101929181	1	0	1	0	0
26232	6	5	5	3	7
93611	183	128	170	104	203
26270	43	41	24	17	30
10459	675	718	508	235	458
374946	5	9	2	0	5
57085	631	541	450	97	443
284498	268	221	226	138	322
102724659	0	0	0	0	0
4524	1125	946	962	766	1366
1185	972	861	888	409	995
100379251	119	108	121	29	132
4878	17	20	11	7	10
4879	1	1	0	0	1
26829	30	26	23	24	24
90231	2966	2352	2032	528	2005
5351	3828	2916	2809	1196	2794
9927	5699	4205	3735	2687	3282
60672	1023	881	779	263	724
102466982	1	2	3	0	2
943	3	0	2	0	2
102465836	0	0	0	0	0
7133	1	0	1	0	1
100616438	0	0	0	0	0
107984917	0	0	0	0	0
55187	3380	2508	2428	1831	2836
677885	9	13	12	2	16
105376744	9	5	9	4	6
9249	18	27	17	6	6
102466722	0	1	0	0	0
343066	0	0	0	0	1
126767	0	0	0	0	0
93190	0	0	0	0	0
390999	0	0	0	0	0
65121	0	0	0	0	0
105376745	0	0	0	0	0
440560	0	0	0	0	0
343069	0	0	0	0	0
65122	0	0	0	0	0
400735	0	0	0	0	0
343071	0	0	0	0	0
441871	0	0	0	0	0
440561	0	0	0	0	0
101929983	0	0	0	1	0
649330	0	0	0	0	0
441873	0	0	0	0	0
649324	0	0	0	0	0
440563	0	0	0	0	0
645354	0	0	0	0	0
645359	0	0	0	0	0
101060301	0	0	0	0	0
343070	0	0	0	2	0
400736	0	0	0	0	0
391003	0	0	0	0	0
343068	0	0	0	0	0
391002	0	0	0	0	0
645382	0	0	0	0	0
