GeneID	control	control	perturbed	perturbed
100287102	7	10	7	8
653635	21	37	25	30
102466751	0	0	0	0
107985730	0	1	1	2
100302278	0	0	0	0
645520	0	0	0	0
79501	0	0	0	0
100996442	2	3	1	2
729737	52	62	46	72
102725121	1	1	2	2
102723897	85	105	93	104
102465909	0	0	0	0
107985721	1	1	1	1
112268260	2	1	1	2
729759	0	0	0	0
100132287	23	27	19	24
105378947	0	0	0	0
101928626	0	0	0	0
113219467	8718	14161	5720	3928
81399	0	0	0	1
100133331	20	24	20	22
107984841	0	0	0	0
107984847	0	0	0	1
107984849	0	0	0	0
100288069	0	0	0	0
105378580	0	0	3	4
400728	0	1	3	1
79854	8	13	7	5
643837	124	170	116	124
107984850	1	0	0	0
284593	0	0	0	1
284600	11	9	35	24
100130417	4	5	1	10
107985728	1	2	1	2
148398	196	243	212	180
26155	197	244	216	186
339451	71	121	51	59
84069	26	45	94	105
84808	7	5	12	12
57801	140	130	238	230
9636	721	1001	1421	1435
375790	88	129	630	537
100288175	65	71	45	66
112267874	14	25	27	34
105378948	71	86	57	80
401934	10	11	25	20
54991	28	51	41	42
254099	4	2	5	10
406984	0	0	0	0
406983	0	0	0	0
554210	0	0	0	0
100506376	0	0	0	0
254173	0	4	0	0
8784	43	114	0	1
7293	1	0	1	0
51150	989	1252	1605	1690
126792	362	411	610	587
388581	0	0	1	1
118424	577	708	661	591
101928895	0	0	0	0
6339	10	2	21	22
116983	21	42	59	47
102465434	0	0	0	0
109623456	0	0	0	0
126789	83	77	108	104
54973	100	105	117	109
102465435	0	0	0	0
80772	202	230	147	157
83756	100	97	69	110
1855	704	968	572	631
102466740	0	0	0	0
54587	2	1	0	8
54998	1845	2348	1797	1592
81669	318	421	462	557
148413	481	585	601	664
55052	1058	1276	1206	1176
107984868	0	0	0	0
441869	2	0	0	1
105378585	0	0	0	0
643965	0	0	0	0
102724312	1	0	1	2
107985729	0	0	0	0
64856	33	40	90	94
219293	1	1	1	0
83858	155	205	106	88
55210	116	210	139	138
339453	0	1	1	0
29101	822	912	1011	1032
643988	304	379	382	457
105378586	0	1	1	0
142678	101	162	165	130
8510	31	24	45	42
984	296	301	353	348
728661	235	249	413	401
8511	1	1	1	3
728642	162	158	204	203
9906	294	415	687	585
112268218	70	80	85	99
65220	233	281	198	196
2782	1591	2141	2268	2492
105378949	2	2	2	3
163688	0	0	0	0
339456	48	58	82	106
85452	0	0	0	4
107984872	0	0	0	0
105378589	0	0	0	0
2563	22	28	83	111
105378590	0	0	0	0
105378591	0	0	1	1
5590	170	200	211	196
100506504	0	4	2	5
199990	288	323	402	401
112268219	16	11	27	11
105378593	0	0	2	0
6497	508	455	594	745
79906	4	17	25	12
100129534	5	4	10	8
11079	1054	1123	955	938
5192	193	217	240	204
9651	4	20	21	24
55229	91	85	100	119
388585	0	2	0	0
115110	0	0	42	44
8764	0	0	102	147
100996583	0	0	0	0
127281	357	358	361	450
79258	2	2	2	3
105378597	3	0	0	1
100287898	1	1	0	4
105378603	0	0	0	0
105378602	0	0	0	0
105378601	0	0	0	0
112268220	0	0	0	0
107985732	0	0	0	0
105378600	0	0	0	0
105378598	0	0	0	0
107984904	0	0	0	0
105378599	0	0	0	0
140625	0	0	0	0
440556	2	0	3	9
63976	53	50	56	78
100422968	0	0	0	0
105378606	0	0	0	0
107984909	0	0	0	2
105378605	0	0	0	0
105378604	0	0	28	17
27237	57	104	103	113
1953	47	48	192	192
105378608	0	0	0	1
693135	0	0	0	0
105378607	0	0	0	0
127262	280	348	282	220
49856	355	411	599	557
7161	47	73	59	58
105378610	1	0	0	0
105378609	0	0	0	0
57212	26	40	36	37
148870	0	1	0	0
388588	8	20	18	27
57470	849	1048	1088	977
9731	170	162	183	200
1677	148	236	169	189
107984910	0	0	1	0
339448	408	387	268	301
100133612	0	0	2	0
728716	0	0	0	0
105376672	0	0	0	0
105376673	0	0	0	0
284661	0	0	0	0
105376674	0	0	0	0
