GeneID	control	control	perturbed	perturbed
100287102	3	4	5	3
653635	488	455	386	329
102466751	5	4	2	2
107985730	0	0	0	0
100302278	0	0	0	0
645520	0	0	0	0
79501	0	0	0	0
100996442	164	165	199	135
729737	984	954	1046	722
102725121	1	2	1	1
102723897	561	517	438	388
102465909	4	3	2	2
107985721	0	1	0	0
112268260	53	72	78	46
729759	0	0	0	0
100132287	463	469	489	346
105378947	7	9	8	5
101928626	0	0	0	0
113219467	2197	2597	1590	1303
81399	1	2	2	1
100133331	472	494	532	377
107984841	42	44	64	36
107984847	57	48	93	47
107984849	4	2	4	3
100288069	90	98	132	79
105378580	55	57	72	48
400728	9	9	14	10
79854	18	21	18	16
643837	230	233	286	226
107984850	1	1	0	0
284593	4	2	4	3
284600	23	15	19	13
100130417	171	166	131	104
107985728	340	361	275	173
148398	488	432	347	254
26155	3878	3657	3943	2689
339451	413	313	281	180
84069	256	259	248	170
84808	70	72	48	29
57801	513	403	479	506
9636	2819	2419	22322	19883
375790	7406	6478	7928	4981
100288175	63	55	42	38
112267874	51	42	52	31
105378948	107	99	85	60
401934	202	181	174	162
54991	211	170	154	114
254099	0	0	0	0
406984	0	0	0	0
406983	2	0	0	0
554210	0	0	0	0
100506376	0	1	2	0
254173	1	0	0	0
8784	31	15	10	14
7293	0	0	1	2
51150	6074	5551	5249	3602
126792	895	722	543	439
388581	10	12	7	6
118424	1372	1132	1231	925
101928895	8	12	12	7
6339	39	21	28	14
116983	692	622	701	439
102465434	0	0	0	0
109623456	3	1	2	1
126789	446	422	379	345
54973	2502	2189	2037	1470
102465435	2	3	1	1
80772	581	567	432	362
83756	17	13	9	5
1855	2127	1873	1569	1388
102466740	0	0	0	1
54587	101	97	120	59
54998	2318	2072	1785	1627
81669	3319	3433	3507	2365
148413	807	708	656	455
55052	1692	1639	1587	1380
107984868	1	6	1	1
441869	1	0	0	1
105378585	0	0	0	0
643965	0	0	0	0
102724312	23	20	4	5
107985729	10	4	4	4
64856	1127	1013	778	688
219293	99	72	77	49
83858	753	652	635	470
55210	1143	972	932	786
339453	1	0	0	1
29101	3194	3107	2938	2140
643988	1002	851	647	506
105378586	7	3	2	1
142678	845	749	587	554
8510	31	30	23	20
984	1236	1095	1369	857
728661	2388	2214	2217	1481
8511	3	4	1	1
728642	892	827	947	603
9906	1094	1039	1130	732
112268218	104	85	76	61
65220	2146	1897	1814	1308
2782	14961	13399	16435	10778
105378949	38	33	18	15
163688	16	17	34	11
339456	269	252	111	147
85452	87	74	63	32
107984872	8	1	3	7
105378589	0	1	0	2
2563	188	164	148	150
105378590	2	0	0	0
105378591	3	3	3	2
5590	1352	1293	1188	841
100506504	13	11	9	7
199990	691	604	498	398
112268219	177	163	118	98
105378593	2	0	1	2
6497	1232	1044	1018	802
79906	136	113	108	84
100129534	30	38	38	26
11079	4075	3772	4037	3210
5192	1223	1063	1010	825
9651	12	20	18	6
55229	906	804	812	592
388585	0	1	0	1
115110	0	0	0	0
8764	0	1	0	2
100996583	1	1	0	0
127281	691	672	487	363
79258	103	110	65	51
105378597	0	1	0	0
100287898	4	5	4	3
105378603	0	0	0	0
105378602	0	0	0	0
105378601	0	0	0	0
112268220	0	0	0	0
107985732	0	0	0	0
105378600	0	0	0	0
105378598	0	0	0	0
107984904	0	0	0	0
105378599	0	0	0	0
140625	0	0	0	0
440556	2	9	6	10
63976	152	145	188	151
100422968	0	0	0	0
105378606	0	0	1	0
107984909	1	0	0	0
105378605	0	0	0	0
105378604	0	0	0	0
27237	1312	1157	915	783
1953	117	95	114	57
105378608	0	0	0	0
