GeneID	control	control	perturbed	perturbed
100287102	2	1	3	3
653635	203	202	269	258
102466751	7	7	11	11
107985730	1	1	1	2
100302278	0	0	0	1
645520	4	3	3	3
79501	0	0	0	0
100996442	19	20	31	23
729737	96	90	117	133
102725121	2	1	2	1
102723897	188	183	263	253
102465909	7	7	10	11
107985721	3	3	3	5
112268260	4	3	6	5
729759	0	0	1	0
100132287	57	61	65	73
105378947	2	2	0	1
101928626	0	0	0	0
113219467	3174	3122	3353	3414
81399	1	2	2	2
100133331	72	70	87	78
107984841	10	10	14	13
107984847	13	13	16	13
107984849	3	3	2	3
100288069	13	11	13	13
105378580	38	37	42	45
400728	9	9	11	10
79854	24	23	24	31
643837	144	142	146	138
107984850	0	1	3	1
284593	2	3	2	3
284600	16	16	15	18
100130417	76	76	157	138
107985728	136	134	247	235
148398	269	267	433	430
26155	729	725	878	885
339451	219	215	295	286
84069	54	54	81	57
84808	6	6	11	7
57801	2	2	0	0
9636	406	403	549	437
375790	2179	2154	5192	5200
100288175	2	2	1	3
112267874	0	0	0	0
105378948	4	4	1	4
401934	0	0	0	0
54991	111	108	113	134
254099	0	0	0	0
406984	0	0	0	0
406983	0	0	0	0
554210	0	0	0	0
100506376	0	0	0	0
254173	2	2	0	0
8784	0	0	0	0
7293	0	0	0	1
51150	2610	2584	3287	3190
126792	296	291	402	423
388581	10	9	13	14
118424	404	402	484	462
101928895	76	74	86	115
6339	140	138	193	215
116983	666	660	1018	1064
102465434	0	0	0	0
109623456	7	7	6	7
126789	114	113	190	159
54973	604	601	768	739
102465435	0	0	0	1
80772	184	184	196	198
83756	6	6	7	6
1855	551	546	681	644
102466740	0	0	0	2
54587	4227	4188	5049	5125
54998	516	512	574	599
81669	3391	3366	4317	4473
148413	213	211	256	278
55052	433	427	517	549
107984868	1	1	1	1
441869	1	1	2	1
105378585	0	0	0	0
643965	0	0	0	0
102724312	0	0	4	6
107985729	0	0	1	1
64856	10	10	1	0
219293	28	28	29	36
83858	390	383	415	459
55210	403	397	455	446
339453	39	39	45	55
29101	922	910	1051	1092
643988	15	15	1	0
105378586	2	2	0	0
142678	767	760	783	848
8510	76	76	105	101
984	521	512	696	669
728661	1095	1087	1488	1502
8511	46	46	64	65
728642	426	414	564	558
9906	527	525	753	757
112268218	37	37	40	43
65220	527	525	655	591
2782	4705	4667	4851	4844
105378949	0	0	1	2
163688	6	6	8	9
339456	0	0	0	0
85452	0	0	0	0
107984872	0	0	0	0
105378589	0	0	0	0
2563	0	0	0	0
105378590	0	0	0	0
105378591	0	0	0	0
5590	27	26	36	24
100506504	6	6	5	1
199990	288	282	395	411
112268219	67	66	74	79
105378593	3	3	8	8
6497	1099	1088	1217	1179
79906	26	26	56	49
100129534	8	8	7	8
11079	1558	1548	2020	2006
5192	229	225	313	282
9651	1	1	2	6
55229	264	260	370	358
388585	0	0	0	0
115110	16	16	36	33
8764	287	282	366	392
100996583	0	0	0	0
127281	207	205	268	287
79258	15	14	30	27
105378597	1	1	0	0
100287898	8	8	10	26
105378603	0	0	0	0
105378602	0	0	0	0
105378601	0	0	0	0
112268220	0	0	0	0
107985732	0	0	0	0
105378600	0	0	0	0
105378598	0	0	0	0
107984904	0	0	0	0
105378599	0	0	0	0
140625	0	0	0	0
440556	2	2	2	0
63976	5	5	3	4
100422968	0	0	0	0
105378606	0	0	0	0
107984909	0	0	0	1
105378605	0	0	0	0
105378604	14	14	12	18
27237	0	0	0	0
1953	116	115	61	63
105378608	51	51	9	12
693135	0	0	0	0
105378607	0	0	0	0
127262	736	729	679	690
49856	179	179	232	261
7161	3	3	1	3
105378610	0	0	0	0
105378609	0	0	0	0
57212	352	346	192	200
148870	1	1	0	0
388588	7	7	6	6
57470	442	434	560	570
9731	326	323	385	389
1677	65	65	106	102
107984910	2	2	1	0
339448	158	156	217	196
100133612	2	2	1	3
728716	0	0	0	0
105376672	0	0	0	0
105376673	0	0	0	0
284661	0	0	0	0
105376674	0	0	0	0
105376679	0	0	0	0
107985376	0	0	0	0
55966	0	0	0	0
105376680	0	0	0	0
102724429	0	0	0	0
105376681	0	0	0	0
105376682	0	0	0	0
107984911	0	0	0	0
105376686	0	0	0	0
100616421	0	0	0	0
261734	118	118	142	155
8514	149	144	179	189
