GeneID	control	control	perturbed	perturbed
100287102	2	1	3	2
653635	203	202	242	223
102466751	7	7	11	7
107985730	1	1	1	1
100302278	0	0	0	0
645520	4	3	2	2
79501	0	0	0	0
100996442	19	20	15	14
729737	96	90	89	75
102725121	2	1	1	2
102723897	188	183	228	224
102465909	7	7	11	7
107985721	3	3	2	4
112268260	4	3	5	6
729759	0	0	0	0
100132287	57	61	46	47
105378947	2	2	2	2
101928626	0	0	0	0
113219467	3174	3122	3946	3853
81399	1	2	2	1
100133331	72	70	58	59
107984841	10	10	8	7
107984847	13	13	7	9
107984849	3	3	1	1
100288069	13	11	9	11
105378580	38	37	23	26
400728	9	9	9	10
79854	24	23	26	29
643837	144	142	177	166
107984850	0	1	0	0
284593	2	3	3	2
284600	16	16	26	27
100130417	76	76	115	121
107985728	136	134	201	214
148398	269	267	384	392
26155	729	725	765	849
339451	219	215	217	222
84069	54	54	41	45
84808	6	6	4	4
57801	2	2	1	2
9636	406	403	821	850
375790	2179	2154	2309	2326
100288175	2	2	3	1
112267874	0	0	0	0
105378948	4	4	2	1
401934	0	0	0	0
54991	111	108	100	96
254099	0	0	0	0
406984	0	0	0	0
406983	0	0	0	0
554210	0	0	0	0
100506376	0	0	0	0
254173	2	2	2	0
8784	0	0	2	0
7293	0	0	0	0
51150	2610	2584	3409	3357
126792	296	291	425	423
388581	10	9	15	13
118424	404	402	601	584
101928895	76	74	94	92
6339	140	138	196	199
116983	666	660	1044	1071
102465434	0	0	0	0
109623456	7	7	9	9
126789	114	113	181	181
54973	604	601	597	655
102465435	0	0	2	1
80772	184	184	214	204
83756	6	6	4	8
1855	551	546	691	669
102466740	0	0	1	2
54587	4227	4188	4336	4402
54998	516	512	599	566
81669	3391	3366	4195	4148
148413	213	211	252	285
55052	433	427	486	518
107984868	1	1	0	0
441869	1	1	3	1
105378585	0	0	0	1
643965	0	0	0	0
102724312	0	0	0	1
107985729	0	0	0	0
64856	10	10	1	2
219293	28	28	35	29
83858	390	383	385	379
55210	403	397	459	441
339453	39	39	55	51
29101	922	910	980	973
643988	15	15	7	12
105378586	2	2	1	0
142678	767	760	1064	1070
8510	76	76	194	195
984	521	512	571	618
728661	1095	1087	1293	1358
8511	46	46	126	128
728642	426	414	462	487
9906	527	525	604	637
112268218	37	37	41	49
65220	527	525	611	610
2782	4705	4667	5128	5083
105378949	0	0	1	3
163688	6	6	13	15
339456	0	0	0	0
85452	0	0	0	0
107984872	0	0	0	0
105378589	0	0	0	0
2563	0	0	0	0
105378590	0	0	0	0
105378591	0	0	0	0
5590	27	26	22	26
100506504	6	6	2	5
199990	288	282	338	305
112268219	67	66	64	70
105378593	3	3	5	7
6497	1099	1088	1127	1198
79906	26	26	55	39
100129534	8	8	5	7
11079	1558	1548	1979	2006
5192	229	225	271	240
9651	1	1	3	3
55229	264	260	325	321
388585	0	0	0	0
115110	16	16	53	40
8764	287	282	401	413
100996583	0	0	0	0
127281	207	205	272	251
79258	15	14	26	20
105378597	1	1	0	0
100287898	8	8	11	11
105378603	0	0	0	0
105378602	0	0	0	0
105378601	0	0	0	0
112268220	0	0	0	0
107985732	0	0	0	0
105378600	0	0	0	0
105378598	0	0	0	0
107984904	0	0	0	0
105378599	0	0	0	0
140625	0	0	0	0
440556	2	2	1	1
63976	5	5	5	7
100422968	0	0	0	0
105378606	0	0	0	0
107984909	0	0	0	0
105378605	0	0	0	0
105378604	14	14	10	6
27237	0	0	0	0
1953	116	115	26	27
105378608	51	51	28	18
693135	0	0	0	0
105378607	0	0	0	0
127262	736	729	756	787
49856	179	179	197	199
7161	3	3	3	2
105378610	0	0	0	0
105378609	0	0	0	0
57212	352	346	303	312
148870	1	1	0	0
388588	7	7	4	1
57470	442	434	564	581
9731	326	323	416	443
1677	65	65	99	84
107984910	2	2	3	0
339448	158	156	214	207
100133612	2	2	3	1
728716	0	0	0	0
105376672	0	0	0	0
105376673	0	0	0	0
284661	0	0	0	0
105376674	0	0	0	0
105376679	0	0	0	0
107985376	0	0	0	0
55966	0	0	0	0
105376680	0	0	0	0
102724429	0	0	0	0
105376681	0	0	0	0
105376682	0	0	0	0
107984911	0	0	0	0
105376686	0	0	0	0
100616421	0	0	0	0
261734	118	118	143	146
8514	149	144	157	138
26038	0	0	2	0
105376687	0	0	0	0
6146	2823	2747	2530	2550
107985733	12	11	2	5
102724450	4	4	1	3
388591	144	143	51	49
