GeneID	perturbed	perturbed	perturbed	control	control	control
100287102	11	10	6	8	7	7
653635	269	248	246	270	264	289
102466751	21	17	11	9	6	12
107985730	0	0	0	0	0	0
100302278	0	0	0	1	0	0
645520	0	0	0	0	0	0
79501	0	0	0	0	0	0
100996442	56	71	55	34	36	40
729737	59	101	58	40	32	31
102725121	9	13	8	9	7	9
102723897	318	301	325	297	297	367
102465909	9	8	8	6	6	6
107985721	1	0	1	0	0	1
112268260	23	37	33	22	16	15
729759	6	6	6	4	4	2
100132287	58	90	57	45	36	42
105378947	3	3	6	2	1	2
101928626	2	1	1	1	0	2
113219467	318	853	430	339	309	398
81399	34	57	29	24	23	19
100133331	42	80	54	39	32	36
107984841	31	48	31	20	18	16
107984847	23	26	16	15	9	11
107984849	6	7	5	5	3	5
100288069	85	94	82	61	52	51
105378580	82	82	63	49	45	52
400728	21	25	13	13	12	20
79854	24	25	18	21	22	17
643837	138	136	112	102	100	135
107984850	1	1	0	1	1	0
284593	3	3	3	2	1	3
284600	215	269	247	83	126	108
100130417	99	116	120	34	58	45
107985728	192	165	172	77	81	86
148398	386	378	438	317	311	361
26155	1289	1068	1273	1773	1764	2154
339451	245	245	256	234	245	270
84069	64	63	69	90	83	87
84808	6	7	8	11	11	13
57801	300	249	276	292	322	347
9636	543	388	535	871	839	1091
375790	1272	1281	1257	1136	1108	897
100288175	6	8	7	16	16	15
112267874	8	11	6	5	5	8
105378948	30	21	31	28	18	20
401934	11	1	9	6	7	8
54991	185	183	200	124	115	123
254099	0	0	0	0	0	0
406984	0	0	0	0	0	0
406983	0	0	0	0	0	0
554210	0	0	0	0	0	0
100506376	0	0	1	0	1	0
254173	3	7	3	3	2	3
8784	225	205	275	466	453	542
7293	3	5	3	4	1	1
51150	968	820	947	1376	1302	1582
126792	361	302	385	352	357	404
388581	7	7	9	4	6	10
118424	344	313	371	299	334	355
101928895	3	10	9	1	9	4
6339	14	9	7	4	2	8
116983	575	520	621	452	465	460
102465434	0	0	0	0	0	1
109623456	5	3	5	2	6	7
126789	283	267	304	286	303	345
54973	556	487	526	563	506	579
102465435	4	7	8	7	6	6
80772	153	154	156	180	175	200
83756	85	76	78	111	123	125
1855	799	691	881	817	756	951
102466740	2	2	0	3	0	1
54587	287	336	358	285	294	376
54998	571	423	568	869	967	1087
81669	1752	1846	1602	1289	1355	1383
148413	262	205	232	275	255	318
55052	394	367	415	560	586	656
107984868	2	7	2	3	6	1
441869	3	5	6	4	7	3
105378585	0	3	1	0	3	0
643965	1	0	0	0	0	0
102724312	0	1	0	0	1	1
107985729	0	1	0	0	1	0
64856	81	64	62	131	130	145
219293	18	19	21	23	21	23
83858	720	716	756	863	821	968
55210	616	534	594	624	610	704
339453	5	12	14	2	3	7
29101	547	438	513	725	656	845
643988	69	80	92	88	78	91
105378586	7	10	18	7	8	20
142678	479	432	464	367	343	391
8510	14	19	16	16	18	8
984	228	213	252	211	197	221
728661	1017	1028	924	687	544	612
8511	6	9	15	7	7	5
728642	102	125	113	134	128	139
9906	504	505	449	324	252	299
112268218	45	37	47	37	32	36
65220	549	461	496	410	415	447
2782	1569	1452	1574	1156	962	1269
105378949	2	5	5	10	11	13
163688	4	4	4	2	1	1
